metadata.features.title	Features — Free POS, Inventory & Online Store
metadata.features.description	Discover Cashvio: free POS (cashier), inventory management, orders, customers, analytics, and a free online store — everything you need to run and grow your business.
metadata.register.description	Sign up for a free POS (cashier) and free online store. Manage sales, inventory, and customers today — free forever, no credit card required.
metadata.arabicPos.description	The only POS and online storefront built natively for Arabic-speaking businesses. True right-to-left interface, bilingual receipts, ZATCA-ready invoicing, and MENA payment integrations. Not a translation layer — built from the ground up for Arabic commerce.
metadata.omnichannelRetail.title	Omnichannel Retail Platform — One Dashboard for Physical & Online Stores
metadata.omnichannelRetail.description	Manage your physical stores and online storefront from one dashboard. Unified inventory, orders, customers, and analytics across every sales channel. Sell in-store, online, and via social media — all synced in real time.
metadata.inventoryManagement.description	Free inventory management software that tracks stock per product variant, per store in real time. Low stock alerts, purchase orders, supplier management, stock transfers, adjustments with full audit trail, and profit reporting — all included free.
metadata.freePos.title	Free POS System — 100% Free Cashier Software
metadata.freePos.description	Cashvio's free POS gives you a cashier screen, cash register, shifts, thermal receipts, and live inventory — free forever. Arabic & English, works offline, no credit card needed.
metadata.freeOnlineStore.title	Free Online Store — Create Your Store in Minutes
metadata.freeOnlineStore.description	Create a free online store synced with a free POS. No commission, no monthly fee, Arabic & English storefront, delivery zones, and coupons — free forever.
metadata.orderManagement.title	Order Management System — Every Sale in One Place
metadata.orderManagement.description	Track orders from your POS, online store, and manual sales in one screen. Fulfillment statuses, partial payments, digital receipts, and WhatsApp updates — free.
metadata.customerManagement.description	Customer profiles that start with just a phone number. Track visits, spending, store credit, addresses, and full order history — built into your free POS.
metadata.salesAnalytics.title	Sales Reports & Analytics — Revenue, Profit & Insights
metadata.multiStoreManagement.title	Multi-Store Management — All Your Branches, One Account
metadata.multiStoreManagement.description	Separate stock, prices, payments, and receipts per branch — one dashboard over all of them. Transfer stock between stores, limit staff per branch, compare reports.
metadata.tools.title	Free Tools for Merchants — Barcode, QR & Profit Calculator
metadata.barcodeGenerator.title	Free Barcode Generator — Code 128 & EAN-13 PNG
metadata.barcodeGenerator.description	Generate scannable Code 128 or EAN-13 barcodes and download them as high-resolution PNGs — free, no watermark, no signup. Built by Cashvio.
metadata.qrCodeGenerator.title	Free QR Code Generator — High-Resolution PNG
metadata.qrCodeGenerator.description	Create a QR code for your store link, WhatsApp, or menu and download a print-ready PNG — free, no watermark, no signup.
metadata.marginCalculator.title	Profit Margin Calculator — Margin, Markup & Selling Price
metadata.marginCalculator.description	Free calculator for merchants: enter cost and price to see profit, margin, and markup — or set a target margin and get the right selling price.
metadata.industryCafe.title	Cafe POS System — Free for Coffee Shops & Juice Bars
metadata.industryClothing.title	Clothing Store POS — Sizes, Colors, Barcodes & Returns
metadata.industryMinimarket.title	Minimarket & Grocery POS — Barcode Speed + Credit Book
footer.newsletter.description	Product updates and practical tips for growing your shop — no spam.
footer.newsletter.success	You're in — we'll keep you posted.
home.hero.subtitle	A free POS (cashier), a free online store, and everything in between — inventory, orders, customers, and reports in one place. Sell in-store, online, or both.
home.hero.eyebrow	Cashvio — everything your shop needs
home.hero.screenCaption	Live view — your dashboard
home.hero.receipt.number	NO. 000001 — YOUR SHOP
home.howItWorks.step1.description	Sign up in under 2 minutes with just your email and phone number. No credit card required — your free forever plan is ready instantly.
home.howItWorks.eyebrow	NO. 02 — YOUR FIRST DAY
home.features.subtitle	Powerful tools designed for modern commerce — from your first sale to your hundredth store
home.features.eyebrow	NO. 01 — WHAT YOU GET
home.features.lineValue	INCLUDED — 0.00
home.mobileApp.eyebrow	NO. 04 — IN YOUR POCKET
home.mobileApp2.description	Manage your entire product catalog, track inventory levels, and set custom pricing—all from your mobile device.
home.ordersShowcase.description	Handle orders from any sales channel — POS, online storefront, phone, or social media. Track fulfillment, manage payments, process returns, and keep a complete audit trail of every action.
