metadata.features.title	"المميزات — كاشير مجاني ومخزون ومتجر إلكتروني"
metadata.features.description	"اكتشف أدوات كاشفيو: كاشير مجاني، إدارة مخزون، طلبات وعملاء وتقارير، ومتجر إلكتروني مجاني — كل ما تحتاجه لإدارة تجارتك وتنميتها."
metadata.register.description	"سجّل لكاشير مجاني ومتجر إلكتروني مجاني. أدر مبيعاتك ومخزونك وعملاءك اليوم — مجاني للأبد وبدون بطاقة ائتمان."
metadata.omnichannelRetail.title	"البيع من كل القنوات — لوحة واحدة للمحل والمتجر الإلكتروني"
metadata.inventoryManagement.title	"برنامج إدارة مخزون مجاني — تابع منتجاتك في كل الفروع"
metadata.freePos.title	"برنامج كاشير مجاني — نظام نقاط بيع مجاني 100%"
metadata.freePos.description	"كاشير مجاني من كاشفيو: شاشة بيع، صندوق نقد، ورديات، إيصالات حرارية، ومخزون محدث لحظياً — مجاني للأبد. عربي وإنجليزي، يعمل بدون إنترنت، وبدون بطاقة ائتمان."
metadata.freeOnlineStore.title	"متجر إلكتروني مجاني — أنشئ متجرك في دقائق"
metadata.freeOnlineStore.description	"أنشئ متجراً إلكترونياً مجانياً متزامناً مع كاشير مجاني. بدون عمولة وبدون اشتراك شهري، متجر عربي وإنجليزي مع مناطق توصيل وكوبونات — مجاني للأبد."
metadata.orderManagement.title	"نظام إدارة الطلبات — كل مبيعاتك في مكان واحد"
metadata.orderManagement.description	"تابع طلبات الكاشير والمتجر الإلكتروني والطلبات اليدوية في شاشة واحدة: حالات التنفيذ، الدفعات الجزئية، الإيصالات الرقمية، وتحديثات واتساب — مجاناً."
metadata.customerManagement.title	"برنامج إدارة العملاء للمحلات — مجاني"
metadata.customerManagement.description	"ملف لكل عميل يبدأ برقم الهاتف فقط: الزيارات، إجمالي المصروف، رصيد المتجر، العناوين، وسجل الطلبات كاملاً — كل ذلك داخل الكاشير المجاني."
metadata.salesAnalytics.title	"تقارير وتحليلات المبيعات — الإيرادات والأرباح والرؤى"
metadata.multiStoreManagement.title	"إدارة الفروع — كل فروعك في حساب واحد"
metadata.multiStoreManagement.description	"مخزون وأسعار وطرق دفع وإيصالات مستقلة لكل فرع — ولوحة واحدة تجمعها كلها. حوّل المخزون بين الفروع، وحدد صلاحيات الموظفين لكل فرع، وقارن الأرقام."
metadata.tools.title	"أدوات مجانية للتجار — باركود وQR وحاسبة الربح"
metadata.barcodeGenerator.title	"مولد باركود مجاني — Code 128 وEAN-13 بصيغة PNG"
metadata.barcodeGenerator.description	"أنشئ باركود Code 128 أو EAN-13 قابلًا للمسح وحمّله بصيغة PNG عالية الدقة — مجانًا، بدون علامة مائية وبدون تسجيل. من كاشفيو."
metadata.qrCodeGenerator.title	"مولد رمز QR مجاني — PNG عالي الدقة"
metadata.qrCodeGenerator.description	"أنشئ رمز QR لرابط متجرك أو واتساب أو المنيو وحمّله بصيغة PNG جاهزة للطباعة — مجانًا، بدون علامة مائية وبدون تسجيل."
metadata.marginCalculator.title	"حاسبة هامش الربح — الهامش ونسبة الربح وسعر البيع"
metadata.marginCalculator.description	"حاسبة مجانية للتجار: أدخل التكلفة والسعر لترى الربح والهامش ونسبة الربح — أو حدّد هامشًا مستهدفًا واحصل على سعر البيع الصحيح."
metadata.industryCafe.title	"كاشير كافيه — مجاني للكوفي شوب ومحلات العصائر"
metadata.industryClothing.title	"كاشير محل ملابس — مقاسات وألوان وباركود ومرتجعات"
metadata.industryMinimarket.title	"كاشير ميني ماركت وبقالة — سرعة الباركود + دفتر الحساب"
footer.newsletter.description	"تحديثات المنتج ونصائح عملية لتنمية تجارتك — بدون إزعاج."
footer.newsletter.success	"تم — هنبقى على تواصل."
home.hero.subtitle	"كاشير مجاني، ومتجر إلكتروني مجاني، وكل ما بينهما — المخزون والطلبات والعملاء والتقارير في مكان واحد. بِع في المحل أو أونلاين أو الاثنين معاً."
home.hero.eyebrow	"كاشفيو — كل ما يحتاجه متجرك"
home.hero.screenCaption	"عرض مباشر — لوحة التحكم"
home.hero.receipt.number	"رقم 000001 — متجرك"
home.howItWorks.step2.description	"أضف منتجاتك وأسعارك وطرق الدفع — متجرك الأول يُنشأ تلقائياً عند التسجيل."
home.howItWorks.eyebrow	"رقم 02 — يومك الأول"
home.features.subtitle	"أدوات بسيطة وقوية — من أول عملية بيع إلى فروع متعددة"
